Date,Name,Year,Letterboxd URI,Rating
2019-03-10,The Tingler,1959,https://boxd.it/1t1y,4.5
2019-03-10,Peeping Tom,1960,https://boxd.it/1Utk,4.5
2019-03-24,Captain Marvel,2019,https://boxd.it/9vSA,3.5
2019-04-09,Dracula,1931,https://boxd.it/2b34,3
2019-04-15,The Third Wife,2018,https://boxd.it/jSlO,3.5
2019-04-16,Carrie,1976,https://boxd.it/20ZQ,3
2019-04-16,Freaks,1932,https://boxd.it/2b3o,3
2019-04-16,Eyes Without a Face,1960,https://boxd.it/1j9i,4
2019-04-24,The Fly,1986,https://boxd.it/1YIe,4
2019-05-03,The Wailing,2016,https://boxd.it/9fLy,4.5
2019-05-03,Audition,1999,https://boxd.it/1UHm,4.5
2019-05-07,Burning,2018,https://boxd.it/hHUa,4.5
2019-05-07,Get Out,2017,https://boxd.it/eOCm,4.5
2019-05-11,Avengers: Endgame,2019,https://boxd.it/9vE4,4
2019-05-19,Suspiria,2018,https://boxd.it/cioI,3
2019-05-19,A Girl Walks Home Alone at Night,2014,https://boxd.it/7nZE,3
2019-05-29,Train to Busan,2016,https://boxd.it/dSQU,3.5
2019-06-09,The Edge of Seventeen,2016,https://boxd.it/d5nu,3
2019-06-12,American Psycho,2000,https://boxd.it/28Vs,3
2019-06-13,Side Effects,2013,https://boxd.it/3GA6,4
2019-06-13,The Meg,2018,https://boxd.it/bAL4,2.5
2019-06-13,Girls Trip,2017,https://boxd.it/eL4G,2.5
2019-06-14,Gone Girl,2014,https://boxd.it/6hQu,4.5
2019-06-19,A Dark Song,2016,https://boxd.it/epo0,3
2019-06-21,The 40 Year Old Virgin,2005,https://boxd.it/21hK,4.5
2019-06-27,Crazy Rich Asians,2018,https://boxd.it/gfnK,2.5
2019-06-28,Always Be My Maybe,2019,https://boxd.it/iB2y,3
2019-06-28,Toy Story 4,2019,https://boxd.it/9ALu,4
2019-06-29,Austin Powers: The Spy Who Shagged Me,1999,https://boxd.it/29xQ,2
2019-07-08,Anchorman: The Legend of Ron Burgundy,2004,https://boxd.it/1ZVo,3.5
2019-07-10,Edge of Tomorrow,2014,https://boxd.it/4pD0,4
2019-07-11,Knock Down the House,2019,https://boxd.it/kIss,4
2019-07-12,The Lonely Island Presents: The Unauthorized Bash Brothers Experience,2019,https://boxd.it/mihs,2.5
2019-07-13,Tropic Thunder,2008,https://boxd.it/20WM,2.5
2019-07-17,Ace Ventura: Pet Detective,1994,https://boxd.it/25RW,3.5
2019-07-18,Napoleon Dynamite,2004,https://boxd.it/20wu,4.5
2019-07-18,Office Space,1999,https://boxd.it/28Em,3
2019-07-18,Midsommar,2019,https://boxd.it/jhxe,4
2019-07-19,Stop Making Sense,1984,https://boxd.it/1ygo,5
2019-07-19,Rushmore,1998,https://boxd.it/1TAO,4.5
2019-07-28,Hannah Gadsby: Nanette,2018,https://boxd.it/jfyE,3
2019-07-28,Evil Dead,2013,https://boxd.it/3GPq,3
2019-07-28,The Shape of Water,2017,https://boxd.it/dZ5m,2.5
2019-07-29,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/5RFA,2.5
2019-07-29,The Hangover,2009,https://boxd.it/1GjK,2
2019-07-30,The Favourite,2018,https://boxd.it/d2hI,4
2019-07-30,The Silence of the Lambs,1991,https://boxd.it/2aHW,4
2019-07-30,The Room,2003,https://boxd.it/1ICY,3
2019-07-30,The Lion King,1994,https://boxd.it/201Q,4.5
2019-07-31,Once Upon a Time… in Hollywood,2019,https://boxd.it/gH0O,4
2019-08-02,Spaceballs,1987,https://boxd.it/29cy,3.5
2019-08-08,Deliverance,1972,https://boxd.it/1VGk,3
2019-08-08,Jackie Brown,1997,https://boxd.it/2aVO,4.5
2019-08-16,The Host,2006,https://boxd.it/28ZY,3
2019-08-17,The Tree of Life,2011,https://boxd.it/1Zu8,5
2019-08-21,Iron Man,2008,https://boxd.it/28dA,4
2019-08-22,Monsters University,2013,https://boxd.it/bQm,2
2019-08-25,Everybody Wants Some!!,2016,https://boxd.it/9mgM,4.5
2019-08-26,Dumb and Dumber,1994,https://boxd.it/206m,3
2019-09-03,Oklahoma!,1955,https://boxd.it/1P5M,3
2019-09-10,Batman,1989,https://boxd.it/2aIU,3.5
2019-09-15,Eyes Wide Shut,1999,https://boxd.it/2axs,4
2019-09-18,Roma,2018,https://boxd.it/f69M,3
2019-09-19,The Exorcist,1973,https://boxd.it/1Yoo,3.5
2019-10-02,Brick,2005,https://boxd.it/1Z6A,3.5
2019-10-07,Minority Report,2002,https://boxd.it/2aWi,4.5
2019-10-11,Downton Abbey,2019,https://boxd.it/jvdM,3
2019-10-15,Burn After Reading,2008,https://boxd.it/23BW,1.5
2019-10-23,Do the Right Thing,1989,https://boxd.it/29gA,5
2019-10-24,Joker,2019,https://boxd.it/h4cS,2.5
2019-10-25,Climax,2018,https://boxd.it/ikvo,2.5
2019-11-08,Forrest Gump,1994,https://boxd.it/728,3.5
2019-11-10,Parasite,2019,https://boxd.it/hTha,5
2019-11-11,"Aguirre, the Wrath of God",1972,https://boxd.it/27Fe,4
2019-11-23,Persona,1966,https://boxd.it/29B4,4.5
